year,race,driver,real_time_seconds,Driver_x,Event,HistAvgGapToPole,Driver_y,DriverOverallAvg,BaselinePredGap,ActualPole2025,ActualGapToPole2025,BaselineError
2025,Miami Grand Prix,HUL,87.473,HUL,Miami Grand Prix,0.997000000000007,HUL,1.9244583333333343,0.997000000000007,86.204,1.2690000000000055,0.27199999999999847
2025,Miami Grand Prix,LAW,87.363,,,,LAW,2.5228181818181836,2.5228181818181836,86.204,1.159000000000006,1.3638181818181776
2025,Miami Grand Prix,LEC,86.754,LEC,Miami Grand Prix,0.09700000000000368,LEC,0.7576015625000003,0.09700000000000368,86.204,0.5500000000000114,0.4530000000000077
2025,Miami Grand Prix,NOR,86.269,NOR,Miami Grand Prix,0.923666666666667,NOR,1.0998046875000003,0.923666666666667,86.204,0.06500000000001194,0.858666666666655
2025,Miami Grand Prix,OCO,86.824,OCO,Miami Grand Prix,0.7990000000000066,OCO,1.7903238095238099,0.7990000000000066,86.204,0.6200000000000045,0.17900000000000205
2025,Miami Grand Prix,PIA,86.269,PIA,Miami Grand Prix,1.0519999999999996,PIA,0.7748913043478266,1.0519999999999996,86.204,0.06500000000001194,0.9869999999999877
2025,Miami Grand Prix,RUS,86.385,RUS,Miami Grand Prix,1.043999999999997,RUS,1.7283437499999998,1.043999999999997,86.204,0.1810000000000116,0.8629999999999853
2025,Miami Grand Prix,SAI,86.569,SAI,Miami Grand Prix,0.24599999999999986,SAI,0.9011746031746035,0.24599999999999986,86.204,0.3650000000000091,0.11900000000000924
2025,Miami Grand Prix,STR,87.83,STR,Miami Grand Prix,1.2660000000000007,STR,2.286904,1.2660000000000007,86.204,1.6260000000000048,0.3600000000000041
2025,Miami Grand Prix,TSU,86.943,TSU,Miami Grand Prix,1.225666666666669,TSU,1.9705172413793104,1.225666666666669,86.204,0.7390000000000043,0.4866666666666646
2025,Miami Grand Prix,VER,86.204,VER,Miami Grand Prix,0.06499999999999773,VER,0.3226587301587303,0.06499999999999773,86.204,0.0,0.06499999999999773
2025,Emilia Romagna Grand Prix,ALB,75.473,ALB,Emilia Romagna Grand Prix,1.208500000000008,ALB,1.749718446601942,1.208500000000008,74.67,0.8029999999999973,0.40550000000001063
2025,Emilia Romagna Grand Prix,ALO,75.431,ALO,Emilia Romagna Grand Prix,1.3850000000000005,ALO,1.1108,1.3850000000000005,74.67,0.7609999999999957,0.6240000000000048
2025,Emilia Romagna Grand Prix,ANT,75.772,,,,,,,74.67,1.1020000000000039,
2025,Emilia Romagna Grand Prix,BEA,76.077,,,,BEA,3.532333333333336,3.532333333333336,74.67,1.4069999999999965,2.1253333333333395
2025,Emilia Romagna Grand Prix,BOR,76.26,,,,,,,74.67,1.5900000000000034,
2025,Emilia Romagna Grand Prix,COL,76.256,,,,COL,2.2035555555555564,2.2035555555555564,74.67,1.5859999999999985,0.6175555555555579
2025,Emilia Romagna Grand Prix,GAS,75.505,GAS,Emilia Romagna Grand Prix,1.120000000000001,GAS,1.7837499999999997,1.120000000000001,74.67,0.8349999999999937,0.28500000000000725
2025,Emilia Romagna Grand Prix,HAD,75.51,,,,,,,74.67,0.8400000000000034,
2025,Emilia Romagna Grand Prix,HAM,75.765,HAM,Emilia Romagna Grand Prix,0.6330000000000027,HAM,0.6594803149606296,0.6330000000000027,74.67,1.0949999999999989,0.4619999999999962
2025,Emilia Romagna Grand Prix,HUL,76.518,HUL,Emilia Romagna Grand Prix,0.8230000000000075,HUL,1.9244583333333343,0.8230000000000075,74.67,1.847999999999999,1.0249999999999915
2025,Emilia Romagna Grand Prix,LAW,76.379,,,,LAW,2.5228181818181836,2.5228181818181836,74.67,1.7090000000000032,0.8138181818181804
2025,Emilia Romagna Grand Prix,LEC,75.604,LEC,Emilia Romagna Grand Prix,0.3907500000000006,LEC,0.7576015625000003,0.3907500000000006,74.67,0.9339999999999975,0.5432499999999969
2025,Emilia Romagna Grand Prix,NOR,74.962,NOR,Emilia Romagna Grand Prix,0.5259999999999998,NOR,1.0998046875000003,0.5259999999999998,74.67,0.2920000000000016,0.2339999999999982
2025,Emilia Romagna Grand Prix,OCO,76.613,OCO,Emilia Romagna Grand Prix,1.75075,OCO,1.7903238095238099,1.75075,74.67,1.9429999999999978,0.1922499999999978
2025,Emilia Romagna Grand Prix,PIA,74.67,PIA,Emilia Romagna Grand Prix,0.07399999999999807,PIA,0.7748913043478266,0.07399999999999807,74.67,0.0,0.07399999999999807
2025,Emilia Romagna Grand Prix,RUS,74.807,RUS,Emilia Romagna Grand Prix,1.1604999999999954,RUS,1.7283437499999998,1.1604999999999954,74.67,0.13700000000000045,1.023499999999995
2025,Emilia Romagna Grand Prix,SAI,75.198,SAI,Emilia Romagna Grand Prix,0.6935000000000002,SAI,0.9011746031746035,0.6935000000000002,74.67,0.5279999999999916,0.16550000000000864
2025,Emilia Romagna Grand Prix,STR,75.497,STR,Emilia Romagna Grand Prix,1.3517500000000027,STR,2.286904,1.3517500000000027,74.67,0.8269999999999982,0.5247500000000045
2025,Emilia Romagna Grand Prix,VER,74.704,VER,Emilia Romagna Grand Prix,0.16350000000000264,VER,0.3226587301587303,0.16350000000000264,74.67,0.033999999999991815,0.12950000000001083
2025,Monaco Grand Prix,ALB,70.732,ALB,Monaco Grand Prix,1.334500000000002,ALB,1.749718446601942,1.334500000000002,69.954,0.7780000000000058,0.5564999999999962
2025,Monaco Grand Prix,ALO,70.924,ALO,Monaco Grand Prix,1.1407500000000006,ALO,1.1108,1.1407500000000006,69.954,0.9700000000000131,0.17074999999998752
2025,Monaco Grand Prix,ANT,71.88,,,,,,,69.954,1.926000000000002,
2025,Monaco Grand Prix,BEA,71.979,,,,BEA,3.532333333333336,3.532333333333336,69.954,2.0250000000000057,1.5073333333333303
2025,Monaco Grand Prix,BOR,71.902,,,,,,,69.954,1.9480000000000075,
2025,Monaco Grand Prix,COL,72.597,,,,COL,2.2035555555555564,2.2035555555555564,69.954,2.6430000000000007,0.4394444444444443
2025,Monaco Grand Prix,GAS,71.994,GAS,Monaco Grand Prix,0.9814000000000022,GAS,1.7837499999999997,0.9814000000000022,69.954,2.0400000000000063,1.0586000000000042
2025,Monaco Grand Prix,HAD,70.923,,,,,,,69.954,0.9690000000000083,
2025,Monaco Grand Prix,HAM,70.382,HAM,Monaco Grand Prix,0.5287999999999983,HAM,0.6594803149606296,0.5287999999999983,69.954,0.4280000000000115,0.10079999999998679
2025,Monaco Grand Prix,HUL,71.596,HUL,Monaco Grand Prix,1.529333333333336,HUL,1.9244583333333343,1.529333333333336,69.954,1.6420000000000101,0.11266666666667402
2025,Monaco Grand Prix,LAW,71.129,,,,LAW,2.5228181818181836,2.5228181818181836,69.954,1.1750000000000114,1.3478181818181723
2025,Monaco Grand Prix,LEC,70.063,LEC,Monaco Grand Prix,0.41780000000000256,LEC,0.7576015625000003,0.41780000000000256,69.954,0.10900000000000887,0.3087999999999937
2025,Monaco Grand Prix,NOR,69.954,NOR,Monaco Grand Prix,0.6932000000000045,NOR,1.0998046875000003,0.6932000000000045,69.954,0.0,0.6932000000000045
2025,Monaco Grand Prix,OCO,70.942,OCO,Monaco Grand Prix,0.8737500000000011,OCO,1.7903238095238099,0.8737500000000011,69.954,0.9879999999999995,0.11424999999999841
2025,Monaco Grand Prix,PIA,70.129,PIA,Monaco Grand Prix,0.5920000000000059,PIA,0.7748913043478266,0.5920000000000059,69.954,0.17500000000001137,0.4169999999999945
2025,Monaco Grand Prix,RUS,71.507,RUS,Monaco Grand Prix,1.280600000000001,RUS,1.7283437499999998,1.280600000000001,69.954,1.5530000000000115,0.2724000000000104
2025,Monaco Grand Prix,SAI,71.362,SAI,Monaco Grand Prix,0.450800000000001,SAI,0.9011746031746035,0.450800000000001,69.954,1.4080000000000013,0.9572000000000003
2025,Monaco Grand Prix,STR,72.563,STR,Monaco Grand Prix,1.7574000000000012,STR,2.286904,1.7574000000000012,69.954,2.609000000000009,0.8516000000000077
2025,Monaco Grand Prix,TSU,71.415,TSU,Monaco Grand Prix,1.1189999999999998,TSU,1.9705172413793104,1.1189999999999998,69.954,1.4610000000000127,0.34200000000001296
2025,Monaco Grand Prix,VER,70.669,VER,Monaco Grand Prix,0.2537999999999954,VER,0.3226587301587303,0.2537999999999954,69.954,0.7150000000000034,0.461200000000008
2025,Spanish Grand Prix,ALB,72.641,ALB,Spanish Grand Prix,1.9879999999999967,ALB,1.749718446601942,1.9879999999999967,71.546,1.0949999999999989,0.8929999999999978
2025,Spanish Grand Prix,ALO,72.284,ALO,Spanish Grand Prix,1.2722499999999997,ALO,1.1108,1.2722499999999997,71.546,0.7379999999999995,0.5342500000000001
2025,Spanish Grand Prix,ANT,72.111,,,,,,,71.546,0.5649999999999977,
2025,Spanish Grand Prix,BEA,73.074,,,,BEA,3.532333333333336,3.532333333333336,71.546,1.5279999999999916,2.0043333333333444
2025,Spanish Grand Prix,BOR,72.756,,,,,,,71.546,1.2099999999999937,
2025,Spanish Grand Prix,COL,73.334,,,,COL,2.2035555555555564,2.2035555555555564,71.546,1.7879999999999967,0.4155555555555597
2025,Spanish Grand Prix,GAS,72.199,GAS,Spanish Grand Prix,1.12433333333333,GAS,1.7837499999999997,1.12433333333333,71.546,0.6529999999999916,0.4713333333333385
2025,Spanish Grand Prix,HAD,72.252,,,,,,,71.546,0.7059999999999889,
2025,Spanish Grand Prix,HAM,72.045,HAM,Spanish Grand Prix,0.37633333333333024,HAM,0.6594803149606296,0.37633333333333024,71.546,0.4989999999999952,0.12266666666666498
2025,Spanish Grand Prix,HUL,73.19,HUL,Spanish Grand Prix,1.6273333333333302,HUL,1.9244583333333343,1.6273333333333302,71.546,1.6439999999999912,0.016666666666661056
2025,Spanish Grand Prix,LAW,72.763,,,,LAW,2.5228181818181836,2.5228181818181836,71.546,1.2169999999999987,1.3058181818181849
2025,Spanish Grand Prix,LEC,72.131,LEC,Spanish Grand Prix,0.9124999999999966,LEC,0.7576015625000003,0.9124999999999966,71.546,0.5849999999999937,0.3275000000000029
2025,Spanish Grand Prix,NOR,71.755,NOR,Spanish Grand Prix,1.1019999999999968,NOR,1.0998046875000003,1.1019999999999968,71.546,0.20899999999998897,0.8930000000000078
2025,Spanish Grand Prix,OCO,73.201,OCO,Spanish Grand Prix,1.2329999999999983,OCO,1.7903238095238099,1.2329999999999983,71.546,1.654999999999987,0.4219999999999886
2025,Spanish Grand Prix,PIA,71.546,PIA,Spanish Grand Prix,0.707499999999996,PIA,0.7748913043478266,0.707499999999996,71.546,0.0,0.707499999999996
2025,Spanish Grand Prix,RUS,71.848,RUS,Spanish Grand Prix,1.6503333333333312,RUS,1.7283437499999998,1.6503333333333312,71.546,0.3019999999999925,1.3483333333333387
2025,Spanish Grand Prix,SAI,73.203,SAI,Spanish Grand Prix,0.9324999999999998,SAI,0.9011746031746035,0.9324999999999998,71.546,1.6569999999999965,0.7244999999999967
2025,Spanish Grand Prix,STR,73.038,STR,Spanish Grand Prix,1.613666666666667,STR,2.286904,1.613666666666667,71.546,1.4919999999999902,0.1216666666666768
2025,Spanish Grand Prix,TSU,73.385,TSU,Spanish Grand Prix,1.7239999999999966,TSU,1.9705172413793104,1.7239999999999966,71.546,1.8389999999999986,0.11500000000000199
2025,Spanish Grand Prix,VER,71.848,VER,Spanish Grand Prix,0.3396666666666661,VER,0.3226587301587303,0.3396666666666661,71.546,0.3019999999999925,0.03766666666667362
2025,Canadian Grand Prix,ALB,71.892,ALB,Canadian Grand Prix,2.0204999999999984,ALB,1.749718446601942,2.0204999999999984,70.899,0.992999999999995,1.0275000000000034
2025,Canadian Grand Prix,ALO,71.586,ALO,Canadian Grand Prix,0.7273333333333293,ALO,1.1108,0.7273333333333293,70.899,0.6869999999999976,0.04033333333333167
2025,Canadian Grand Prix,ANT,71.391,,,,,,,70.899,0.49200000000000443,
2025,Canadian Grand Prix,BEA,72.306,,,,BEA,3.532333333333336,3.532333333333336,70.899,1.4069999999999965,2.1253333333333395
2025,Canadian Grand Prix,BOR,72.385,,,,,,,70.899,1.4860000000000042,
2025,Canadian Grand Prix,COL,72.142,,,,COL,2.2035555555555564,2.2035555555555564,70.899,1.242999999999995,0.9605555555555614
2025,Canadian Grand Prix,GAS,72.667,GAS,Canadian Grand Prix,4.847749999999998,GAS,1.7837499999999997,4.847749999999998,70.899,1.7680000000000007,3.079749999999997
2025,Canadian Grand Prix,HAD,71.867,,,,,,,70.899,0.9680000000000035,
2025,Canadian Grand Prix,HAM,71.526,HAM,Canadian Grand Prix,0.934000000000001,HAM,0.6594803149606296,0.934000000000001,70.899,0.6269999999999953,0.3070000000000057
2025,Canadian Grand Prix,HUL,72.183,HUL,Canadian Grand Prix,1.6333333333333353,HUL,1.9244583333333343,1.6333333333333353,70.899,1.284000000000006,0.3493333333333293
2025,Canadian Grand Prix,LAW,72.525,,,,LAW,2.5228181818181836,2.5228181818181836,70.899,1.6260000000000048,0.8968181818181789
