driver,race,PredictedGapToPole,ActualGapToPole,real_time_seconds,ActualPole,Error,PredTime,PredPosition,ActualPosition,PositionError
ALB,Chinese Grand Prix,1.4091694343585028,0.8619999999999948,91.503,90.641,0.5471694343585081,92.05016943435851,14,10,4
ALO,Chinese Grand Prix,0.866810993366089,1.046999999999997,91.688,90.641,0.18018900663390802,91.50781099336609,9,14,5
ANT,Chinese Grand Prix,0.4211869281167533,0.4619999999999891,91.103,90.641,0.040813071883235796,91.06218692811676,4,8,4
BEA,Chinese Grand Prix,1.6844120007829466,1.3769999999999953,92.018,90.641,0.3074120007829513,92.32541200078295,19,17,2
BOR,Chinese Grand Prix,1.5582194717243252,1.5,92.141,90.641,0.05821947172432518,92.19921947172433,18,19,1
DOO,Chinese Grand Prix,1.4092721646509658,1.4509999999999934,92.092,90.641,0.041727835349027576,92.05027216465098,15,18,3
GAS,Chinese Grand Prix,1.8785517902205229,1.350999999999999,91.992,90.641,0.5275517902205238,92.51955179022053,20,16,4
HAD,Chinese Grand Prix,0.834022473085132,0.4379999999999882,91.079,90.641,0.3960224730851438,91.47502247308513,8,7,1
HAM,Chinese Grand Prix,0.44549026695535743,0.28600000000000136,90.927,90.641,0.15949026695535606,91.08649026695537,5,5,0
HUL,Chinese Grand Prix,1.0584033431275304,0.9909999999999997,91.632,90.641,0.06740334312753071,91.69940334312754,10,13,3
LAW,Chinese Grand Prix,1.476387963489989,1.5330000000000013,92.174,90.641,0.05661203651001223,92.11738796348999,17,20,3
LEC,Chinese Grand Prix,0.31761905944538016,0.37999999999999545,91.021,90.641,0.062380940554615294,90.95861905944538,2,6,4
NOR,Chinese Grand Prix,0.6535540324901625,0.1460000000000008,90.787,90.641,0.5075540324901617,91.29455403249017,7,3,4
OCO,Chinese Grand Prix,1.4086839837170229,0.9839999999999947,91.625,90.641,0.4246839837170282,92.04968398371703,13,11,2
PIA,Chinese Grand Prix,0.37403664838474393,0.0,90.641,90.641,0.37403664838474393,91.01503664838475,3,1,2
RUS,Chinese Grand Prix,0.45262484182985896,0.08199999999999363,90.723,90.641,0.3706248418298653,91.09362484182986,6,2,4
SAI,Chinese Grand Prix,1.0595382142982455,0.9869999999999948,91.628,90.641,0.07253821429825069,91.70053821429825,11,12,1
STR,Chinese Grand Prix,1.1392260134157586,1.1319999999999908,91.773,90.641,0.007226013415767785,91.78022601341577,12,15,3
TSU,Chinese Grand Prix,1.4538631507603799,0.5969999999999942,91.238,90.641,0.8568631507603857,92.09486315076039,16,9,7
VER,Chinese Grand Prix,0.08882701597013351,0.17599999999998772,90.817,90.641,0.08717298402985421,90.72982701597014,1,4,3
ALB,Japanese Grand Prix,1.0387085952357669,0.6319999999999908,87.615,86.983,0.40670859523577607,88.02170859523576,10,9,1
ALO,Japanese Grand Prix,1.066432629744587,0.9140000000000015,87.897,86.983,0.1524326297445855,88.04943262974459,11,13,2
ANT,Japanese Grand Prix,0.5071777535830263,0.5720000000000027,87.555,86.983,0.06482224641697643,87.49017775358303,5,6,1
BEA,Japanese Grand Prix,1.2749251126897438,0.7279999999999944,87.711,86.983,0.5469251126897494,88.25792511268975,12,10,2
BOR,Japanese Grand Prix,2.2110501309749795,1.6389999999999958,88.622,86.983,0.5720501309749837,89.19405013097499,19,17,2
DOO,Japanese Grand Prix,1.9739722511949078,1.8939999999999912,88.877,86.983,0.07997225119491658,88.95697225119491,18,19,1
GAS,Japanese Grand Prix,1.5207196052693903,0.8389999999999986,87.822,86.983,0.6817196052693917,88.5037196052694,14,11,3
HAD,Japanese Grand Prix,0.9846262080946707,0.5859999999999985,87.569,86.983,0.3986262080946722,87.96762620809467,9,7,2
HAM,Japanese Grand Prix,0.5840923377570524,0.6269999999999953,87.61,86.983,0.04290766224294296,87.56709233775706,7,8,1
HUL,Japanese Grand Prix,1.7057604497354764,1.586999999999989,88.57,86.983,0.11876044973548727,88.68876044973548,16,16,0
LAW,Japanese Grand Prix,1.380761020731141,0.9230000000000018,87.906,86.983,0.4577610207311391,88.36376102073115,13,14,1
LEC,Japanese Grand Prix,0.38571996023508626,0.3160000000000025,87.299,86.983,0.06971996023508376,87.3687199602351,3,4,1
NOR,Japanese Grand Prix,0.35466877940316177,0.012000000000000455,86.995,86.983,0.3426687794031613,87.33766877940316,2,2,0
OCO,Japanese Grand Prix,2.568927016267531,1.7129999999999939,88.696,86.983,0.855927016267537,89.55192701626754,20,18,2
PIA,Japanese Grand Prix,0.4787242540623724,0.04399999999999693,87.027,86.983,0.43472425406237547,87.46172425406237,4,3,1
RUS,Japanese Grand Prix,0.5419989986711155,0.33499999999999375,87.318,86.983,0.2069989986711217,87.52499899867112,6,5,1
SAI,Japanese Grand Prix,0.7561375475069421,0.8529999999999944,87.836,86.983,0.09686245249305236,87.73913754750694,8,12,4
STR,Japanese Grand Prix,1.9268441083691594,2.2879999999999967,89.271,86.983,0.3611558916308373,88.90984410836916,17,20,3
TSU,Japanese Grand Prix,1.6698371962693395,0.9839999999999947,87.967,86.983,0.6858371962693448,88.65283719626935,15,15,0
VER,Japanese Grand Prix,0.1298973985479898,0.0,86.983,86.983,0.1298973985479898,87.112897398548,1,1,0
ALB,Bahrain Grand Prix,1.9918665020049686,2.1990000000000123,92.04,89.841,0.20713349799504366,91.83286650200496,15,16,1
ALO,Bahrain Grand Prix,1.832005928364386,1.7930000000000064,91.634,89.841,0.03900592836437955,91.67300592836438,14,14,0
ANT,Bahrain Grand Prix,0.691049925037859,0.3719999999999999,90.213,89.841,0.3190499250378591,90.53204992503785,7,4,3
BEA,Bahrain Grand Prix,2.784719182037583,2.5320000000000107,92.373,89.841,0.2527191820375725,92.62571918203757,20,20,0
BOR,Bahrain Grand Prix,2.335284453697795,2.345000000000013,92.186,89.841,0.009715546302218048,92.17628445369779,18,18,0
DOO,Bahrain Grand Prix,1.5653981133099344,1.4040000000000106,91.245,89.841,0.16139811330992382,91.40639811330993,13,11,2
GAS,Bahrain Grand Prix,1.1253629631179003,0.375,90.216,89.841,0.7503629631179003,90.96636296311789,9,5,4
HAD,Bahrain Grand Prix,1.465165464047799,1.4300000000000068,91.271,89.841,0.03516546404779208,91.3061654640478,10,12,2
HAM,Bahrain Grand Prix,0.6734425450266699,0.9310000000000116,90.772,89.841,0.2575574549733417,90.51444254502667,5,9,4
HUL,Bahrain Grand Prix,1.5252556929556604,1.8520000000000039,91.693,89.841,0.32674430704434343,91.36625569295566,12,15,3
LAW,Bahrain Grand Prix,2.1323226098824586,2.3240000000000123,92.165,89.841,0.1916773901175537,91.97332260988246,17,17,0
LEC,Bahrain Grand Prix,0.4755088104154197,0.3340000000000032,90.175,89.841,0.14150881041541652,90.31650881041541,2,3,1
NOR,Bahrain Grand Prix,0.5138539888192258,0.42600000000000193,90.267,89.841,0.0878539888192239,90.35485398881922,3,6,3
OCO,Bahrain Grand Prix,2.4872362925526987,1.7530000000000001,91.594,89.841,0.7342362925526986,92.32823629255269,19,13,6
PIA,Bahrain Grand Prix,0.7135297905725397,0.0,89.841,89.841,0.7135297905725397,90.55452979057253,8,1,7
RUS,Bahrain Grand Prix,0.6785562379885766,0.16800000000000637,90.009,89.841,0.5105562379885702,90.51955623798857,6,2,4
SAI,Bahrain Grand Prix,0.6078081669256509,0.8390000000000128,90.68,89.841,0.23119183307436197,90.44880816692564,4,8,4
STR,Bahrain Grand Prix,2.1127324069438687,2.4420000000000073,92.283,89.841,0.3292675930561386,91.95373240694386,16,19,3
TSU,Bahrain Grand Prix,1.517210906804702,1.3870000000000005,91.228,89.841,0.1302109068047015,91.3582109068047,11,10,1
VER,Bahrain Grand Prix,0.3055620973751403,0.5820000000000078,90.423,89.841,0.27643790262486756,90.14656209737514,1,7,6
ALB,Saudi Arabian Grand Prix,1.334066217782027,0.8149999999999977,88.109,87.294,0.5190662177820293,88.62806621778202,15,11,4
ALO,Saudi Arabian Grand Prix,1.0771892610425213,1.0090000000000003,88.303,87.294,0.06818926104252099,88.37118926104252,10,13,3
ANT,Saudi Arabian Grand Prix,0.7748553567824166,0.5040000000000049,87.798,87.294,0.2708553567824117,88.06885535678241,8,6,2
BEA,Saudi Arabian Grand Prix,1.0989606046877878,1.2420000000000044,88.536,87.294,0.14303939531221666,88.39296060468779,11,15,4
BOR,Saudi Arabian Grand Prix,1.7909524478653327,2.1680000000000064,89.462,87.294,0.37704755213467367,89.08495244786533,18,20,2
DOO,Saudi Arabian Grand Prix,1.8456973309865934,1.4450000000000074,88.739,87.294,0.400697330986586,89.13969733098659,19,17,2
GAS,Saudi Arabian Grand Prix,1.3210541002911524,0.7310000000000088,88.025,87.294,0.5900541002911437,88.61505410029115,14,9,5
HAD,Saudi Arabian Grand Prix,1.1929025323330928,1.1240000000000094,88.418,87.294,0.06890253233308341,88.48690253233309,12,14,2
HAM,Saudi Arabian Grand Prix,0.703352553612629,0.8080000000000069,88.102,87.294,0.10464744638737788,87.99735255361263,7,10,3
HUL,Saudi Arabian Grand Prix,1.464729137576085,1.4879999999999995,88.782,87.294,0.02327086242391463,88.75872913757608,17,18,1
LAW,Saudi Arabian Grand Prix,1.2659119591116883,0.8970000000000056,88.191,87.294,0.36891195911168273,88.55991195911169,13,12,1
LEC,Saudi Arabian Grand Prix,0.24832160193371144,0.3760000000000048,87.67,87.294,0.12767839806629333,87.54232160193371,2,5,3
NOR,Saudi Arabian Grand Prix,0.6643946800897831,0.1869999999999976,87.481,87.294,0.4773946800897855,87.95839468008978,6,4,2
OCO,Saudi Arabian Grand Prix,2.6227372727979033,1.7980000000000018,89.092,87.294,0.8247372727979014,89.9167372727979,20,19,1
PIA,Saudi Arabian Grand Prix,0.49278873115328864,0.010000000000005116,87.304,87.294,0.4827887311532835,87.78678873115328,3,2,1
RUS,Saudi Arabian Grand Prix,0.5336490528658552,0.11299999999999955,87.407,87.294,0.42064905286585563,87.82764905286585,4,3,1
SAI,Saudi Arabian Grand Prix,0.6440821658304441,0.730000000000004,88.024,87.294,0.08591783416955989,87.93808216583044,5,8,3
STR,Saudi Arabian Grand Prix,1.4236248333063426,1.350999999999999,88.645,87.294,0.0726248333063435,88.71762483330635,16,16,0
TSU,Saudi Arabian Grand Prix,0.9708485997580583,0.695999999999998,87.99,87.294,0.2748485997580603,88.26484859975805,9,7,2
VER,Saudi Arabian Grand Prix,0.010416411748993992,0.0,87.294,87.294,0.010416411748993992,87.30441641174899,1,1,0
ALB,Miami Grand Prix,0.8702074189471136,0.47800000000000864,86.682,86.204,0.392207418947105,87.07420741894711,10,7,3
ALO,Miami Grand Prix,1.3771351384108879,1.4000000000000057,87.604,86.204,0.022864861589117824,87.58113513841089,15,17,2
ANT,Miami Grand Prix,0.426287145577794,0.06700000000000728,86.271,86.204,0.35928714557778674,86.63028714557778,5,4,1
BEA,Miami Grand Prix,1.7158931947702731,1.7950000000000017,87.999,86.204,0.07910680522972857,87.91989319477027,19,20,1
BOR,Miami Grand Prix,1.403298591059797,0.9470000000000027,87.151,86.204,0.4562985910597943,87.60729859105979,16,13,3
DOO,Miami Grand Prix,1.2075485082792654,0.9820000000000135,87.186,86.204,0.22554850827925188,87.41154850827925,14,14,0
GAS,Miami Grand Prix,1.8577815140537033,1.5060000000000002,87.71,86.204,0.35178151405370306,88.06178151405369,20,18,2
HAD,Miami Grand Prix,1.097728084498672,0.7830000000000013,86.987,86.204,0.31472808449867085,87.30172808449866,12,11,1
HAM,Miami Grand Prix,0.7824709476691021,0.8020000000000067,87.006,86.204,0.019529052330904628,86.98647094766909,9,12,3
HUL,Miami Grand Prix,1.4604267694736883,1.2690000000000055,87.473,86.204,0.19142676947368287,87.66442676947368,17,16,1
LAW,Miami Grand Prix,1.1687572935923212,1.159000000000006,87.363,86.204,0.009757293592315142,87.37275729359231,13,15,2
LEC,Miami Grand Prix,0.3369657267590328,0.5500000000000114,86.754,86.204,0.21303427324097857,86.54096572675903,4,8,4
NOR,Miami Grand Prix,0.3089405142466599,0.06500000000001194,86.269,86.204,0.24394051424664798,86.51294051424665,2,2,0
OCO,Miami Grand Prix,1.0472858695122866,0.6200000000000045,86.824,86.204,0.4272858695122821,87.25128586951229,11,9,2
PIA,Miami Grand Prix,0.7601061829401707,0.06500000000001194,86.269,86.204,0.6951061829401588,86.96410618294017,8,2,6
RUS,Miami Grand Prix,0.44716979710573845,0.1810000000000116,86.385,86.204,0.26616979710572686,86.65116979710574,6,5,1
SAI,Miami Grand Prix,0.33034243801372776,0.3650000000000091,86.569,86.204,0.03465756198628134,86.53434243801372,3,6,3
STR,Miami Grand Prix,1.7069639907393017,1.6260000000000048,87.83,86.204,0.08096399073929694,87.91096399073929,18,19,1
TSU,Miami Grand Prix,0.7552090677104332,0.7390000000000043,86.943,86.204,0.01620906771042885,86.95920906771043,7,10,3
VER,Miami Grand Prix,0.08323844058565863,0.0,86.204,86.204,0.08323844058565863,86.28723844058565,1,1,0
ALB,Monaco Grand Prix,1.3491725834738966,0.7780000000000058,70.732,69.954,0.5711725834738908,71.3031725834739,13,6,7
ALO,Monaco Grand Prix,0.791020702724484,0.9700000000000131,70.924,69.954,0.17897929727552908,70.74502070272447,6,8,2
ANT,Monaco Grand Prix,1.5544506123702941,1.926000000000002,71.88,69.954,0.3715493876297078,71.50845061237028,14,15,1
BEA,Monaco Grand Prix,1.8847907098871026,2.0250000000000057,71.979,69.954,0.14020929011290306,71.83879070988709,17,17,0
BOR,Monaco Grand Prix,1.9841903272102022,1.9480000000000075,71.902,69.954,0.03619032721019466,71.9381903272102,19,16,3
COL,Monaco Grand Prix,1.8921485886129759,2.6430000000000007,72.597,69.954,0.7508514113870248,71.84614858861298,18,20,2
GAS,Monaco Grand Prix,2.0550638105503856,2.0400000000000063,71.994,69.954,0.015063810550379308,72.00906381055037,20,18,2
HAD,Monaco Grand Prix,0.8615794999259303,0.9690000000000083,70.923,69.954,0.107420500074078,70.81557949992592,7,7,0
HAM,Monaco Grand Prix,0.4956677798758998,0.4280000000000115,70.382,69.954,0.06766777987588835,70.4496677798759,5,4,1
HUL,Monaco Grand Prix,1.2140949498216833,1.6420000000000101,71.596,69.954,0.4279050501783268,71.16809494982168,12,14,2
LAW,Monaco Grand Prix,1.0019449657511434,1.1750000000000114,71.129,69.954,0.17305503424886792,70.95594496575114,8,10,2
LEC,Monaco Grand Prix,0.34424797244865646,0.10900000000000887,70.063,69.954,0.2352479724486476,70.29824797244865,3,2,1
NOR,Monaco Grand Prix,0.30681399827774614,0.0,69.954,69.954,0.30681399827774614,70.26081399827774,2,1,1
OCO,Monaco Grand Prix,1.125628257021288,0.9879999999999995,70.942,69.954,0.13762825702128856,71.07962825702128,10,9,1
PIA,Monaco Grand Prix,0.4573478613071944,0.17500000000001137,70.129,69.954,0.28234786130718303,70.41134786130719,4,3,1
RUS,Monaco Grand Prix,1.6538040226435191,1.5530000000000115,71.507,69.954,0.10080402264350763,71.6078040226435,15,13,2
SAI,Monaco Grand Prix,1.0393131953184418,1.4080000000000013,71.362,69.954,0.36868680468155945,70.99331319531844,9,11,2
STR,Monaco Grand Prix,1.8631785422908749,2.609000000000009,72.563,69.954,0.745821457709134,71.81717854229086,16,19,3
TSU,Monaco Grand Prix,1.1822455367646538,1.4610000000000127,71.415,69.954,0.2787544632353589,71.13624553676465,11,12,1
VER,Monaco Grand Prix,0.18651628401034076,0.7150000000000034,70.669,69.954,0.5284837159896627,70.14051628401033,1,5,4
ALB,Spanish Grand Prix,1.3031097596754928,1.0949999999999989,72.641,71.546,0.20810975967549394,72.8491097596755,10,11,1
ALO,Spanish Grand Prix,2.006203196413739,0.7379999999999995,72.284,71.546,1.2682031964137392,73.55220319641374,18,10,8
ANT,Spanish Grand Prix,0.5411804941399594,0.5649999999999977,72.111,71.546,0.023819505860038337,72.08718049413997,7,6,1
BEA,Spanish Grand Prix,1.8087645331151783,1.5279999999999916,73.074,71.546,0.2807645331151867,73.35476453311519,17,15,2
BOR,Spanish Grand Prix,1.4293564911854353,1.2099999999999937,72.756,71.546,0.21935649118544154,72.97535649118544,12,12,0
COL,Spanish Grand Prix,1.6945684018861498,1.7879999999999967,73.334,71.546,0.09343159811384694,73.24056840188615,16,19,3
GAS,Spanish Grand Prix,0.8993113725113255,0.6529999999999916,72.199,71.546,0.24631137251133395,72.44531137251133,8,8,0
HAD,Spanish Grand Prix,2.1716500809995027,0.7059999999999889,72.252,71.546,1.4656500809995139,73.7176500809995,20,9,11
HAM,Spanish Grand Prix,0.5164403860576929,0.4989999999999952,72.045,71.546,0.01744038605769771,72.0624403860577,5,5,0
HUL,Spanish Grand Prix,1.587003262645818,1.6439999999999912,73.19,71.546,0.05699673735417332,73.13300326264583,13,16,3
LAW,Spanish Grand Prix,1.2485793640063436,1.2169999999999987,72.763,71.546,0.03157936400634487,72.79457936400635,9,13,4
LEC,Spanish Grand Prix,0.35741774174381113,0.5849999999999937,72.131,71.546,0.2275822582561826,71.90341774174382,3,7,4
NOR,Spanish Grand Prix,0.31874967767151574,0.20899999999998897,71.755,71.546,0.10974967767152677,71.86474967767153,2,2,0
OCO,Spanish Grand Prix,2.093786798012649,1.654999999999987,73.201,71.546,0.43878679801266207,73.63978679801265,19,17,2
PIA,Spanish Grand Prix,0.4061623994471324,0.0,71.546,71.546,0.4061623994471324,71.95216239944713,4,1,3
RUS,Spanish Grand Prix,0.537615397731758,0.3019999999999925,71.848,71.546,0.23561539773176554,72.08361539773176,6,3,3
SAI,Spanish Grand Prix,1.3833310800617298,1.6569999999999965,73.203,71.546,0.2736689199382667,72.92933108006173,11,18,7
STR,Spanish Grand Prix,1.6417152946668419,1.4919999999999902,73.038,71.546,0.14971529466685163,73.18771529466684,14,14,0
TSU,Spanish Grand Prix,1.661605555056913,1.8389999999999986,73.385,71.546,0.17739444494308554,73.20760555505692,15,20,5
VER,Spanish Grand Prix,0.1320383545479669,0.3019999999999925,71.848,71.546,0.1699616454520256,71.67803835454798,1,3,2
ALB,Canadian Grand Prix,1.279083531061377,0.992999999999995,71.892,70.899,0.28608353106138207,72.17808353106138,12,10,2
ALO,Canadian Grand Prix,0.7227881154253681,0.6869999999999976,71.586,70.899,0.035788115425370526,71.62178811542537,7,6,1
ANT,Canadian Grand Prix,0.5349825544300857,0.49200000000000443,71.391,70.899,0.042982554430081255,71.43398255443009,5,4,1
BEA,Canadian Grand Prix,1.6245648497193814,1.4069999999999965,72.306,70.899,0.21756484971938495,72.52356484971938,16,14,2
BOR,Canadian Grand Prix,1.7836514129053307,1.4860000000000042,72.385,70.899,0.2976514129053265,72.68265141290533,18,16,2
COL,Canadian Grand Prix,1.3997007021870909,1.242999999999995,72.142,70.899,0.15670070218709586,72.29870070218709,14,12,2
GAS,Canadian Grand Prix,1.860398650600464,1.7680000000000007,72.667,70.899,0.09239865060046326,72.75939865060046,19,20,1
HAD,Canadian Grand Prix,0.8514726492311342,0.9680000000000035,71.867,70.899,0.11652735076886933,71.75047264923114,9,9,0
HAM,Canadian Grand Prix,0.5124741998410797,0.6269999999999953,71.526,70.899,0.11452580015891567,71.41147419984108,4,5,1
HUL,Canadian Grand Prix,1.17414628729163,1.284000000000006,72.183,70.899,0.10985371270837607,72.07314628729164,11,13,2
LAW,Canadian Grand Prix,1.6459571027344673,1.6260000000000048,72.525,70.899,0.019957102734462495,72.54495710273447,17,19,2
LEC,Canadian Grand Prix,0.7138159724694151,0.7270000000000039,71.626,70.899,0.013184027530588782,71.61281597246942,6,8,2
NOR,Canadian Grand Prix,0.8430881095352771,0.7000000000000028,71.599,70.899,0.1430881095352743,71.74208810953527,8,7,1
OCO,Canadian Grand Prix,1.993471122582695,1.4789999999999992,72.378,70.899,0.5144711225826959,72.89247112258269,20,15,5
PIA,Canadian Grand Prix,0.4460111944807893,0.22100000000000364,71.12,70.899,0.22501119448078566,71.34501119448079,2,3,1
RUS,Canadian Grand Prix,0.5020129789049919,0.0,70.899,70.899,0.5020129789049919,71.40101297890499,3,1,2
SAI,Canadian Grand Prix,1.3549956947691286,1.4989999999999952,72.398,70.899,0.1440043052308666,72.25399569476913,13,17,4
STR,Canadian Grand Prix,1.6117858543481876,1.617999999999995,72.517,70.899,0.006214145651807446,72.51078585434819,15,18,3
TSU,Canadian Grand Prix,1.127449182821972,1.203000000000003,72.102,70.899,0.07555081717803103,72.02644918282198,10,11,1
VER,Canadian Grand Prix,0.1107588681061775,0.1599999999999966,71.059,70.899,0.049241131893819096,71.00975886810618,1,2,1
ALB,Austrian Grand Prix,1.5323624161189366,1.1720000000000041,65.143,63.971,0.3603624161189325,65.50336241611893,16,13,3
ALO,Austrian Grand Prix,1.0345289640166848,1.1570000000000036,65.128,63.971,0.12247103598331877,65.00552896401668,8,12,4
ANT,Austrian Grand Prix,0.9547472827876375,1.0810000000000102,65.052,63.971,0.12625271721237263,64.92574728278764,7,10,3
BEA,Austrian Grand Prix,1.5590879086228269,1.247000000000007,65.218,63.971,0.3120879086228199,65.53008790862282,18,14,4
BOR,Austrian Grand Prix,1.228624386502126,0.8750000000000071,64.846,63.971,0.3536243865021189,65.19962438650212,10,7,3
COL,Austrian Grand Prix,1.4674885019824973,1.3070000000000093,65.278,63.971,0.16048850198248799,65.43848850198249,15,15,0
GAS,Austrian Grand Prix,1.1900803904664348,0.8750000000000071,64.846,63.971,0.31508039046642766,65.16108039046644,9,7,2
HAD,Austrian Grand Prix,1.3971557003566466,1.0920000000000059,65.063,63.971,0.30515570035664075,65.36815570035664,12,11,1
HAM,Austrian Grand Prix,0.5282782765855435,0.6109999999999971,64.582,63.971,0.08272172341445361,64.49927827658554,4,4,0
HUL,Austrian Grand Prix,1.6062427938119916,1.634999999999998,65.606,63.971,0.028757206188006368,65.57724279381199,19,20,1
LAW,Austrian Grand Prix,1.5430906539087759,0.9550000000000054,64.926,63.971,0.5880906539087705,65.51409065390877,17,9,8
LEC,Austrian Grand Prix,0.45883948988314793,0.5210000000000079,64.492,63.971,0.06216051011685997,64.42983948988315,2,2,0
NOR,Austrian Grand Prix,0.35015901109313485,0.0,63.971,63.971,0.35015901109313485,64.32115901109313,1,1,0
OCO,Austrian Grand Prix,1.8499404610397288,1.3930000000000078,65.364,63.971,0.45694046103972097,65.82094046103973,20,17,3
PIA,Austrian Grand Prix,0.5130382370616628,0.5830000000000055,64.554,63.971,0.06996176293834266,64.48403823706165,3,3,0
RUS,Austrian Grand Prix,0.5943886331638566,0.7920000000000087,64.763,63.971,0.1976113668361521,64.56538863316385,5,5,0
SAI,Austrian Grand Prix,1.3384146988035615,1.610999999999997,65.582,63.971,0.27258530119643565,65.30941469880356,11,19,8
STR,Austrian Grand Prix,1.4318528126635843,1.357999999999997,65.329,63.971,0.07385281266358734,65.40285281266358,14,16,2
TSU,Austrian Grand Prix,1.4080059368127122,1.3980000000000032,65.369,63.971,0.010005936812709004,65.3790059368127,13,18,5
VER,Austrian Grand Prix,0.6412208475495712,0.865000000000002,64.836,63.971,0.22377915245043078,64.61222084754957,6,6,0
ALB,British Grand Prix,1.3275872200498238,0.9969999999999999,85.889,84.892,0.3305872200498239,86.21958722004982,13,14,1
ALO,British Grand Prix,0.906191109502853,0.7010000000000076,85.593,84.892,0.20519110950284536,85.79819110950285,9,9,0
ANT,British Grand Prix,0.4384493552417751,0.4819999999999993,85.374,84.892,0.04355064475822423,85.33044935524177,5,7,2
BEA,British Grand Prix,0.9215867824668762,0.5790000000000077,85.471,84.892,0.34258678246686847,85.81358678246687,10,8,2
BOR,British Grand Prix,2.0277356106231763,1.554000000000002,86.446,84.892,0.47373561062317426,86.91973561062318,20,17,3
COL,British Grand Prix,2.0137261154868575,2.1680000000000064,87.06,84.892,0.15427388451314883,86.90572611548686,19,20,1
GAS,British Grand Prix,1.351286578356449,0.8190000000000026,85.711,84.892,0.5322865783564463,86.24328657835645,14,10,4
HAD,British Grand Prix,1.1616800983354711,0.9720000000000084,85.864,84.892,0.18968009833546273,86.05368009833546,12,13,1
HAM,British Grand Prix,0.7344352908265435,0.19200000000000728,85.084,84.892,0.5424352908265362,85.62643529082654,8,5,3
HUL,British Grand Prix,1.817223659598405,1.6820000000000022,86.574,84.892,0.13522365959840288,86.70922365959841,18,19,1
LAW,British Grand Prix,1.7323759835981836,1.5480000000000018,86.44,84.892,0.18437598359818175,86.62437598359818,17,16,1
LEC,British Grand Prix,0.3099638549150322,0.2289999999999992,85.121,84.892,0.080963854915033,85.20196385491502,3,6,3
NOR,British Grand Prix,0.28789459781330995,0.11800000000000921,85.01,84.892,0.16989459781330074,85.1798945978133,2,3,1
OCO,British Grand Prix,1.5574966323852744,1.058000000000007,85.95,84.892,0.4994966323852674,86.44949663238528,15,15,0
PIA,British Grand Prix,0.4222813112251673,0.10300000000000864,84.995,84.892,0.3192813112251587,85.31428131122516,4,2,2
RUS,British Grand Prix,0.4792701476308654,0.13700000000000045,85.029,84.892,0.34227014763086494,85.37127014763087,6,4,2
SAI,British Grand Prix,0.6705246057618008,0.8539999999999992,85.746,84.892,0.18347539423819836,85.5625246057618,7,11,4
STR,British Grand Prix,1.694268383407327,1.612000000000009,86.504,84.892,0.08226838340731812,86.58626838340733,16,18,2
TSU,British Grand Prix,1.078376988899567,0.9339999999999975,85.826,84.892,0.1443769888995694,85.97037698889956,11,12,1
VER,British Grand Prix,0.06823189500726984,0.0,84.892,84.892,0.06823189500726984,84.96023189500727,1,1,0
